Object_ID,Cam_num,SD_num
1,22,4
2,34,70
3,43,61
4,50,62
5,51,83
6,27,0
7,23,18
8,52,9
9,32,9
10,35,14
11,37,7
12,45,0
13,24,2
14,53,90
15,57,13
16,39,0
17,27,31
18,45,88
19,56,16
20,40,96
21,46,76
22,54,91
23,50,78
24,52,35
25,36,32
26,41,87
27,23,16
28,32,25
29,51,89
30,49,93
31,33,74
32,38,60
33,47,77
34,48,70
35,28,83
36,34,8
37,31,63
38,21,14
39,32,93
40,35,84
41,56,70
42,57,66
43,52,12
44,51,75
45,41,24
46,28,9
47,47,7
48,48,62
49,38,35
50,39,17
51,37,84
52,49,75
53,21,66
54,50,70
55,32,11
56,32,65
57,36,64
58,35,77
59,41,25
60,39,83
61,51,5
62,52,7
63,48,6
64,52,7
65,27,19
66,47,18
67,50,11
68,38,38
69,28,21
70,59,95
71,69,60
72,63,75
73,64,26
74,66,70
75,0,0
76,64,6
77,0,0
78,36,18
79,0,0
80,48,64
81,47,11
82,52,84
83,0,0
84,56,41
85,60,89
86,66,19
